fear_greed_date_utc,fear_greed_market_date,fear_greed_source_timestamp_utc,fear_greed_value,fear_greed_rating,fear_greed_change_1d,fear_greed_change_5d,fear_greed_sma_5d,fear_greed_sma_20d,fear_greed_zscore_20d,fear_greed_day_of_week,spx_date,spx_match_lag_calendar_days,spx_same_trading_day,spx_day_of_week,spx_symbol,spx_open,spx_high,spx_low,spx_close,spx_adj_close,spx_volume,spx_previous_close,spx_daily_return_pct,spx_gap_pct,spx_intraday_return_pct,spx_range_pct,spx_return_1d_pct,spx_return_5d_pct,spx_return_10d_pct,spx_return_20d_pct,spx_return_60d_pct,spx_return_252d_pct,spx_sma_20d,spx_close_vs_sma_20d_pct,spx_sma_50d,spx_close_vs_sma_50d_pct,spx_sma_200d,spx_close_vs_sma_200d_pct,spx_volatility_20d_annualized_pct,spx_drawdown_from_252d_high_pct,spx_data_source,outcome_forward_return_1d_pct,outcome_forward_return_5d_pct,outcome_forward_return_10d_pct,outcome_forward_return_20d_pct,outcome_forward_return_60d_pct,outcome_forward_max_drawdown_5d_pct,outcome_forward_max_gain_5d_pct,outcome_forward_max_drawdown_20d_pct,outcome_forward_max_gain_20d_pct,outcome_forward_max_drawdown_60d_pct,outcome_forward_max_gain_60d_pct
2023-05-09,2023-05-08,2023-05-09T00:00:00Z,59.571429,greed,2.428572,4.057143,54.965714,59.874286,-0.059658,Monday,2023-05-08,0,True,Monday,^GSPC,4136.979980,4142.299805,4123.810059,4138.120117,4138.120117,3641640000,4136.250000,0.045213,0.017648,0.027560,0.447017,0.045213,-0.713794,0.026108,0.705999,1.387238,-0.211003,4124.602527,0.327731,4045.018408,2.301639,3971.418665,4.197529,14.271107,-3.880890,Yahoo Finance via yfinance,-0.457942,-0.044473,1.317259,3.521647,8.790707,-0.947295,0.390507,-0.947295,3.894514,-0.947295,11.332433
2023-05-10,2023-05-09,2023-05-10T00:00:00Z,59.971429,greed,0.400000,5.342858,56.034286,59.835714,0.026755,Tuesday,2023-05-09,0,True,Tuesday,^GSPC,4124.250000,4130.350098,4116.649902,4119.169922,4119.169922,3810140000,4138.120117,-0.457942,-0.335179,-0.123176,0.331073,-0.457942,-0.009956,1.167592,0.248969,0.701876,-0.101130,4125.114026,-0.144096,4047.757007,1.764259,3972.206365,3.699797,14.379801,-4.321060,Yahoo Finance via yfinance,0.448397,-0.225046,0.641152,3.601456,8.711946,-0.491604,0.852353,-0.491604,4.372480,-0.491604,11.844617
2023-05-11,2023-05-10,2023-05-11T00:00:00Z,59.057143,greed,-0.914286,9.457143,57.925714,59.630000,-0.114270,Wednesday,2023-05-10,0,True,Wednesday,^GSPC,4143.740234,4154.279785,4098.919922,4137.640137,4137.640137,4057160000,4119.169922,0.448397,0.596487,-0.147212,1.343957,0.448397,1.146248,2.013076,1.116587,0.008462,3.668037,4127.398535,0.248137,4051.106812,2.136042,3973.060365,4.142393,14.363567,-3.892039,Yahoo Finance via yfinance,-0.169662,0.510675,-0.541369,3.777275,9.203309,-0.930966,0.653266,-0.930966,3.906566,-0.930966,11.345348
2023-05-12,2023-05-11,2023-05-12T00:00:00Z,57.342857,greed,-1.714286,3.457143,58.617143,59.211429,-0.387317,Thursday,2023-05-11,0,True,Thursday,^GSPC,4132.240234,4132.799805,4109.290039,4130.620117,4130.620117,3752900000,4137.640137,-0.169662,-0.130507,-0.039207,0.568193,-0.169662,1.708850,-0.114379,-0.376249,-0.133211,3.238402,4126.618530,0.096970,4054.691416,1.872614,3974.108215,3.938290,13.573413,-4.055098,Yahoo Finance via yfinance,-0.158331,1.632435,0.500159,4.072990,8.927467,-0.762597,1.732914,-0.762597,4.648212,-0.762597,11.534581
2023-05-15,2023-05-14,2023-05-15T00:00:00Z,57.257143,greed,-0.085714,0.114286,58.640000,58.720000,-0.327447,Sunday,2023-05-12,2,False,Friday,^GSPC,4138.540039,4143.740234,4099.120117,4124.080078,4124.080078,3533740000,4130.620117,-0.158331,0.191737,-0.349398,1.080228,-0.158331,-0.294226,-1.088862,-0.327724,-0.567075,4.800292,4125.940527,-0.045092,4057.546016,1.639761,3974.610565,3.760608,13.565410,-4.207008,Yahoo Finance via yfinance,0.295816,1.646425,1.973049,5.209649,8.332280,-0.344809,2.153937,-0.487384,5.238739,-0.487384,11.711454
2023-05-16,2023-05-15,2023-05-16T00:00:00Z,55.285714,greed,-1.971429,-4.285715,57.782857,58.210000,-0.691261,Monday,2023-05-15,0,True,Monday,^GSPC,4126.649902,4141.250000,4110.270020,4136.279785,4136.279785,3562170000,4124.080078,0.295816,0.062313,0.233358,0.751197,0.295816,-0.044473,-0.757949,-0.362295,1.121400,5.246705,4125.188525,0.268867,4059.358814,1.894904,3974.929814,4.059190,13.554278,-3.923637,Yahoo Finance via yfinance,-0.637768,1.362338,1.673974,5.626553,8.039840,-0.638736,1.852640,-0.780890,5.780323,-0.780890,11.381968
2023-05-17,2023-05-16,2023-05-17T00:00:00Z,60.257143,greed,4.971429,0.285714,57.840000,57.860000,0.648122,Tuesday,2023-05-16,0,True,Tuesday,^GSPC,4127.950195,4135.540039,4109.859863,4109.899902,4109.899902,3654200000,4136.279785,-0.637768,-0.201379,-0.437270,0.620852,-0.637768,-0.225046,-0.234980,-1.082349,0.755311,2.137484,4122.940015,-0.316282,4060.588413,1.214393,3974.827864,3.398186,13.725426,-4.536381,Yahoo Finance via yfinance,1.189083,0.868152,1.701506,6.391638,8.616996,0.090518,2.506393,-0.144041,6.859533,-0.144041,12.096886
2023-05-18,2023-05-17,2023-05-18T00:00:00Z,64.914286,greed,4.657143,5.857143,59.011429,57.902857,1.855712,Wednesday,2023-05-17,0,True,Wednesday,^GSPC,4122.850098,4164.669922,4113.620117,4158.770020,4158.770020,4039080000,4109.899902,1.189083,0.315098,0.871240,1.242118,1.189083,0.510675,1.662776,0.102298,4.038434,3.761468,4123.152515,0.863842,4064.036411,2.331023,3975.028564,4.622393,14.415409,-3.401240,Yahoo Finance via yfinance,0.944505,-1.046699,1.496837,6.421846,7.957886,-1.317458,1.301830,-1.317458,6.743104,-1.317458,10.779625
2023-05-19,2023-05-18,2023-05-19T00:00:00Z,65.457143,greed,0.542857,8.114286,60.634286,58.000000,1.887318,Thursday,2023-05-18,0,True,Thursday,^GSPC,4157.680176,4202.200195,4153.500000,4198.049805,4198.049805,3980500000,4158.770020,0.944505,-0.026206,0.970965,1.171024,0.944505,1.632435,3.369181,1.652863,5.186599,2.670670,4126.565503,1.732295,4068.157207,3.192910,3975.562864,5.596363,14.594382,-2.488860,Yahoo Finance via yfinance,-0.144587,-1.114089,2.008559,5.039007,5.712416,-2.240798,0.353982,-2.240798,5.965161,-2.240798,9.743096
2023-05-22,2023-05-21,2023-05-22T00:00:00Z,67.857143,greed,2.400000,10.600000,62.754286,58.218571,2.205930,Sunday,2023-05-19,2,False,Friday,^GSPC,4204.149902,4212.910156,4180.200195,4191.979980,4191.979980,4041900000,4198.049805,-0.144587,0.145308,-0.289474,0.779170,-0.144587,1.646425,1.347355,1.414290,4.477706,6.837970,4129.488501,1.513298,4073.630405,2.905260,3975.746914,5.438804,14.617263,-2.629848,Yahoo Finance via yfinance,0.015503,0.321333,1.951585,4.693009,5.065628,-2.099247,0.498336,-2.099247,6.118594,-2.099247,9.902000
